Name,City,State,Size_MW,Score_Default,Classification,Score_Best_Case,Score_Worst_Case,Score_Range,Missing_Inputs,PUE_Low_Score,PUE_High_Score,Growth_Low_Score,Growth_High_Score,OPEX_Low_Score,OPEX_High_Score,Data_Collection_Priority
SVY01C,San Jose,CA,100.0,84.9,Excellent,94.09,71.22,22.87,baseline_pue; load_growth_rate; energy_pct_opex,75.95,90.75,79.77,90.03,84.9,84.9,HIGH
Equinix FR9x,Frankfurt,Hesse,40.0,77.95,Excellent,88.51,65.66,22.85,baseline_pue; load_growth_rate; energy_pct_opex,70.21,83.4,73.07,82.83,77.95,77.95,HIGH
Equinix TY11,Tokyo,Tokyo,18.0,75.02,Excellent,85.49,62.65,22.84,baseline_pue; load_growth_rate; energy_pct_opex,67.24,80.41,70.14,79.88,75.02,75.02,HIGH
NTT Tokyo 2,Tokyo,Tokyo,18.0,75.02,Excellent,85.49,62.65,22.84,baseline_pue; load_growth_rate; energy_pct_opex,67.24,80.41,70.14,79.88,75.02,75.02,HIGH
Calle de Emilio Munoz 49-51 MAD3,Madrid,,5.8,57.4,Good,67.3,44.59,22.71,baseline_pue; load_growth_rate; energy_pct_opex,49.35,62.41,52.56,62.19,57.4,57.4,HIGH
NTT Tokyo 5,Mitaka,Tokyo,20.0,75.25,Excellent,85.68,62.98,22.7,baseline_pue; load_growth_rate; energy_pct_opex,67.54,80.61,70.39,80.11,75.25,75.25,HIGH
Colt Inzai 4,Inzai,Chiba,20.0,75.25,Excellent,85.68,62.98,22.7,baseline_pue; load_growth_rate; energy_pct_opex,67.54,80.61,70.39,80.11,75.25,75.25,HIGH
RJ2,Rio de Janeiro,Rio de Janeiro,9.0,68.32,Good,78.54,55.85,22.69,baseline_pue; load_growth_rate; energy_pct_opex,60.49,73.54,63.47,73.15,68.32,68.32,HIGH
HostDime Brazil,São Paulo,São Paulo,5.9,57.25,Good,67.09,44.53,22.56,baseline_pue; load_growth_rate; energy_pct_opex,49.27,62.22,52.43,62.03,57.25,57.25,HIGH
Telehouse Tama 5,Tama,Tokyo,24.0,75.61,Excellent,85.98,63.46,22.52,baseline_pue; load_growth_rate; energy_pct_opex,68.01,80.92,70.77,80.45,75.61,75.61,HIGH
